epoch,epoch,time,learning_rate,total,data,pde,bc,val_mse,val_rel_l2,val_pde
0,0,1.759352684020996,0.001,0.10531838784615198,0.10398272822300593,0.0013296372955664993,6.022373991262005e-06,0.00801600981503725,0.48332157731056213,"tensor(6.2147, device='cuda:0')"
1,1,3.876228094100952,0.001,0.06052776152888934,0.058012462904055914,0.0025127817527391015,2.5169161896580287e-06,0.003829325898550451,0.28732767701148987,"tensor(39.9083, device='cuda:0')"
2,2,5.7242431640625,0.001,0.04132560516397158,0.03712186329066754,0.004203142241264383,5.992197676126428e-07,0.0034406931372359395,0.2424955740571022,"tensor(37.1694, device='cuda:0')"
3,3,7.483271598815918,0.001,0.03603018907209237,0.0327900859216849,0.0032398907157282033,2.1241029439048967e-07,0.003113584825769067,0.2337675392627716,"tensor(31.1096, device='cuda:0')"
4,4,9.2144033908844,0.001,0.03484547883272171,0.03196106341977914,0.002884237871815761,1.7750874690136697e-07,0.0031561164651066065,0.21594372391700745,"tensor(27.1215, device='cuda:0')"
5,5,10.976381063461304,0.001,0.03234504424035549,0.02969983989993731,0.0026450390617052716,1.6502148649048348e-07,0.0030204083304852247,0.19747047871351242,"tensor(26.0461, device='cuda:0')"
6,6,13.496788263320923,0.001,0.03054813320438067,0.027878689890106518,0.002669285067046682,1.5810194137581372e-07,0.0021790043683722615,0.1899956464767456,"tensor(30.7499, device='cuda:0')"
7,7,15.386380434036255,0.001,0.027579064170519512,0.02475231798986594,0.002826558255280058,1.8792612621609806e-07,0.0017786335665732622,0.16672585159540176,"tensor(27.3972, device='cuda:0')"
8,8,17.187000513076782,0.001,0.024365958323081336,0.021753197660048802,0.002612569353853663,1.912658907106864e-07,0.001494209107477218,0.15211400389671326,"tensor(26.9747, device='cuda:0')"
9,9,18.924103260040283,0.001,0.02274916588018338,0.020240676775574683,0.002508308707425992,1.8057463032998082e-07,0.0012963071931153536,0.1444157361984253,"tensor(26.1771, device='cuda:0')"
