epoch,epoch,time,learning_rate,total,data,pde,bc,val_mse,val_rel_l2,val_pde
0,0,1.4015519618988037,0.001,21.059920986493427,0.2347078631321589,20.825212997198104,3.746284425195275e-07,0.02597759570926428,0.8504304885864258,"tensor(7466.8340, device='cuda:0')"
1,1,2.4024879932403564,0.001,0.30943873127301535,0.11169748504956563,0.19774119406938553,5.492102334396047e-08,0.016860082745552063,0.6562809944152832,"tensor(11337.2793, device='cuda:0')"
2,2,3.3083863258361816,0.001,0.17509415845076243,0.08475969930489859,0.090334319571654,1.3855522714341836e-07,0.01194747956469655,0.5235005021095276,"tensor(9273.6816, device='cuda:0')"
3,3,4.217122554779053,0.001,0.1375124265750249,0.07907506922880808,0.05843716810146968,1.900867488302538e-07,0.010812153574079275,0.49804191291332245,"tensor(6027.5171, device='cuda:0')"
4,4,5.103520631790161,0.001,0.12303940157095591,0.07735661764939626,0.04568257480859757,2.0873111547340765e-07,0.010197930969297886,0.48578493297100067,"tensor(4269.4248, device='cuda:0')"
5,5,5.9957921504974365,0.001,0.11170880446831385,0.07411363422870636,0.037594943990310034,2.2691439293491082e-07,0.00978317717090249,0.47701162099838257,"tensor(3415.2749, device='cuda:0')"
6,6,6.914705991744995,0.001,0.10517955521742503,0.0716243952512741,0.0335549209266901,2.3810223410691832e-07,0.009444667026400566,0.4706401228904724,"tensor(3030.6060, device='cuda:0')"
7,7,8.736246109008789,0.001,0.10000532070795695,0.07019744912783304,0.02980761540432771,2.54953423943031e-07,0.009185662027448416,0.4660135805606842,"tensor(2889.3882, device='cuda:0')"
8,8,9.680925130844116,0.001,0.09618012756109237,0.06909858584403991,0.0270812784632047,2.6371823764748114e-07,0.008960147853940725,0.459017738699913,"tensor(2566.5371, device='cuda:0')"
9,9,10.672608852386475,0.001,0.09324577152729034,0.06844650854667028,0.02479899041354656,2.7222060907661214e-07,0.008782995399087667,0.454790398478508,"tensor(2276.9727, device='cuda:0')"
10,10,11.52167534828186,0.001,0.09099451502164205,0.06830743153889975,0.02268680470685164,2.790190004967978e-07,0.008617362007498741,0.4500129669904709,"tensor(2129.6323, device='cuda:0')"
11,11,12.407211065292358,0.001,0.09019565681616465,0.06850672339399656,0.021688651169339816,2.823936711138231e-07,0.008420299738645554,0.445210799574852,"tensor(2027.1066, device='cuda:0')"
12,12,13.29753851890564,0.001,0.08563913802305857,0.06559770554304123,0.02004113644361496,2.947983110364779e-07,0.008232819847762585,0.4392024725675583,"tensor(1831.9908, device='cuda:0')"
13,13,14.208281517028809,0.001,0.0853629137078921,0.06618800684809685,0.01917461430033048,2.9207740794845447e-07,0.008143029641360044,0.4344627857208252,"tensor(1730.6628, device='cuda:0')"
14,14,15.097524881362915,0.001,0.08282738476991654,0.0642424056927363,0.018584683413306873,2.9524692687724986e-07,0.007966090925037861,0.4275774210691452,"tensor(1666.0256, device='cuda:0')"
15,15,15.98298716545105,0.001,0.08060572693745295,0.06294439310828845,0.01766104275981585,2.907025077547587e-07,0.007824408123269677,0.42128071188926697,"tensor(1576.0652, device='cuda:0')"
16,16,16.902366638183594,0.001,0.07781650573015213,0.06117035274704297,0.016645859802762668,2.918116308592289e-07,0.0077017853036522865,0.4155142605304718,"tensor(1517.9677, device='cuda:0')"
17,17,17.811227798461914,0.001,0.07911516278982163,0.06220225940148036,0.01691261095305284,2.910610097236107e-07,0.0075996252708137035,0.41130274534225464,"tensor(1507.5171, device='cuda:0')"
18,18,18.72319269180298,0.001,0.07698864142100016,0.05939947192867597,0.01758888072023789,2.879586939267635e-07,0.007244400214403868,0.40790441632270813,"tensor(1805.4111, device='cuda:0')"
19,19,19.55189275741577,0.001,0.0732030173142751,0.057301702847083406,0.015901020355522634,2.9514957683810886e-07,0.007280676392838359,0.40286868810653687,"tensor(1488.0042, device='cuda:0')"
20,20,20.436877965927124,0.001,0.07188639640808106,0.057049324611822765,0.014836775076886018,2.975129480849622e-07,0.007128051249310374,0.396695539355278,"tensor(1447.5540, device='cuda:0')"
21,21,21.31311058998108,0.001,0.07180956800778707,0.05708445310592651,0.014724820231397947,2.9658494327122753e-07,0.007069962099194527,0.39492616057395935,"tensor(1401.8750, device='cuda:0')"
22,22,22.170710802078247,0.001,0.07032380799452463,0.05615907261768977,0.014164436546464761,2.987030995882378e-07,0.007014681585133076,0.39527155458927155,"tensor(1322.5382, device='cuda:0')"
23,23,22.929804801940918,0.001,0.06963472068309784,0.0555823341012001,0.01405208371579647,3.042937748887198e-07,0.006854028673842549,0.3941401243209839,"tensor(1402.2041, device='cuda:0')"
24,24,23.7877995967865,0.001,0.06810778801639875,0.05513854399323463,0.012968938425183296,3.059344559612024e-07,0.006940412567928433,0.3924179673194885,"tensor(1266.2104, device='cuda:0')"
25,25,24.69644784927368,0.001,0.06868128553032875,0.05604592487215996,0.01263506052394708,2.999531886871409e-07,0.006988069741055369,0.39228078722953796,"tensor(1171.7747, device='cuda:0')"
26,26,25.616135835647583,0.001,0.06690004542469978,0.05444159979621569,0.012458144252498944,3.018878885541199e-07,0.006849897792562842,0.3899364620447159,"tensor(1151.7771, device='cuda:0')"
27,27,26.50526213645935,0.001,0.0671832412481308,0.054577095061540605,0.012605845369398594,3.013333828979133e-07,0.006674210308119655,0.38798563182353973,"tensor(1236.9910, device='cuda:0')"
28,28,27.39141845703125,0.001,0.06558140615622203,0.05391913503408432,0.011661966890096664,3.0507002482712174e-07,0.0067186192609369755,0.392679899930954,"tensor(1208.1029, device='cuda:0')"
