epoch,epoch,time,learning_rate,total,data,pde,bc,val_mse,val_rel_l2,val_pde
0,0,4.915579080581665,0.001,0.08495718617230019,0.05177831322826604,0.03317887268808558,0.0,0.00026625000282365363,0.040489481994882226,"tensor(0.0187, device='cuda:0')"
1,1,10.187371492385864,0.001,0.014865684468325572,0.013439748964622512,0.001425935569341486,0.0,0.000601173123868648,0.0554864970035851,"tensor(0.0064, device='cuda:0')"
2,2,15.025206804275513,0.001,0.015536030424190751,0.014020538215148957,0.001515492214821279,0.0,0.0003619931903813267,0.04806016990914941,"tensor(0.0156, device='cuda:0')"
3,3,19.661028146743774,0.001,0.01507628383114934,0.013571533282016608,0.0015047505980519352,0.0,0.00022943245039641624,0.0337412531953305,"tensor(0.0258, device='cuda:0')"
4,4,24.204004287719727,0.001,0.013528357616605912,0.01211510346343754,0.001413254158122214,0.0,0.0003531716411089292,0.03901658346876502,"tensor(0.0069, device='cuda:0')"
5,5,28.61699604988098,0.001,0.014330467149773811,0.012859860752174195,0.0014706064099842247,0.0,0.00015950488523230888,0.026869116933085024,"tensor(0.0234, device='cuda:0')"
6,6,33.11382794380188,0.001,0.011544157037551099,0.010231219311343862,0.001312937721872623,0.0,0.0006301054636423942,0.055372653529047966,"tensor(0.0114, device='cuda:0')"
7,7,37.79101228713989,0.001,0.009847569424685435,0.008626601632341004,0.001220967839818765,0.0,3.941736076740199e-05,0.015468124707695097,"tensor(0.0099, device='cuda:0')"
8,8,42.38809013366699,0.001,0.00958384110770644,0.008378059167335642,0.0012057819525489967,0.0,3.908616463377257e-05,0.01469134766375646,"tensor(0.0127, device='cuda:0')"
9,9,46.76721477508545,0.001,0.013575077218710319,0.012109419436636546,0.0014656578268647748,0.0,0.00030400466130231507,0.03603829396888614,"tensor(0.0042, device='cuda:0')"
10,10,51.15851044654846,0.001,0.010686522422371603,0.00945030754524554,0.0012362148707273503,0.0,0.0005806698463857174,0.050187316024675965,"tensor(0.0059, device='cuda:0')"
11,11,55.789398193359375,0.001,0.011984625910507871,0.010650134721361365,0.0013344911746977967,0.0,0.00010778131991173723,0.024509032140485942,"tensor(0.0167, device='cuda:0')"
12,12,60.52819490432739,0.001,0.008782791469166887,0.007619075918015331,0.001163715595116918,0.0,6.833765860392305e-05,0.018071357277221978,"tensor(0.0086, device='cuda:0')"
13,13,64.9323627948761,0.001,0.009935109258517094,0.008675397497581993,0.001259711708506926,0.0,6.534075009767548e-05,0.0192867818986997,"tensor(0.0140, device='cuda:0')"
14,14,69.41235303878784,0.001,0.007844315838491451,0.0067285542336708686,0.0011157616122513482,0.0,9.868396000456414e-05,0.0200018739560619,"tensor(0.0073, device='cuda:0')"
15,15,74.1036319732666,0.001,0.008659498571213467,0.007507505412180478,0.0011519931716240071,0.0,0.0005192661610635696,0.050171863520517945,"tensor(0.0433, device='cuda:0')"
16,16,78.63470935821533,0.001,0.009510337959657958,0.008284945022777145,0.0012253929211936416,0.0,4.227423823977006e-05,0.014844947319943458,"tensor(0.0134, device='cuda:0')"
17,17,83.01123857498169,0.001,0.00934298459030952,0.00810447576990787,0.0012385088199888296,0.0,0.00012879747600891278,0.02574581967201084,"tensor(0.0073, device='cuda:0')"
18,18,87.36478233337402,0.001,0.009346760181934699,0.008186290450129948,0.0011604697078611728,0.0,0.0001439787106392032,0.02554107632022351,"tensor(0.0242, device='cuda:0')"
19,19,91.8039608001709,0.001,0.011714181648104961,0.010328356523383805,0.0013858251199737217,0.0,9.706824039312778e-05,0.02164117305073887,"tensor(0.0130, device='cuda:0')"
20,20,96.49451446533203,0.001,0.010235871947931905,0.008986128596522917,0.0012497433555371902,0.0,0.00015695551974204136,0.029345833230763674,"tensor(0.0238, device='cuda:0')"
21,21,100.92466020584106,0.001,0.007813819791421506,0.006679390588484652,0.0011344292277060714,0.0,7.856210777390515e-05,0.020351258106529713,"tensor(0.0158, device='cuda:0')"
22,22,105.49774050712585,0.001,0.008808997198807221,0.007644027030650288,0.001164970154740273,0.0,5.310163987815031e-05,0.018344094045460224,"tensor(0.0119, device='cuda:0')"
23,23,110.14590072631836,0.001,0.007762976515879656,0.006663415293665009,0.0010995612156095235,0.0,9.174852812066092e-05,0.020094997715204954,"tensor(0.0056, device='cuda:0')"
24,24,114.67029047012329,0.001,0.00977066695584473,0.008577766364228958,0.0011929006106055058,0.0,0.0001443906917302229,0.023962308769114316,"tensor(0.0047, device='cuda:0')"
25,25,119.11639881134033,0.001,0.009754962902119819,0.008555552981635357,0.0011994099658946937,0.0,0.0004426951109053334,0.04508113581687212,"tensor(0.0041, device='cuda:0')"
26,26,123.7780487537384,0.001,0.010564584991769165,0.009323179749904055,0.0012414052681824035,0.0,0.00013750481775787193,0.026306822896003723,"tensor(0.0049, device='cuda:0')"
27,27,128.15039992332458,0.001,0.006916967664799052,0.005828615760179699,0.0010883519194808836,0.0,5.618914997285174e-05,0.015634014562238008,"tensor(0.0164, device='cuda:0')"
28,28,132.56264877319336,0.001,0.007196717159096019,0.006109811722281131,0.001086905420921307,0.0,5.421170794761565e-05,0.01591395994182676,"tensor(0.0172, device='cuda:0')"
29,29,137.25142669677734,0.001,0.008955098614294795,0.00777477485867521,0.0011803237636695807,0.0,0.0001796801325326669,0.028329292661510408,"tensor(0.0039, device='cuda:0')"
30,30,141.5817973613739,0.001,0.008259629579723303,0.007140545717750986,0.0011190838479364278,0.0,5.196232586968108e-05,0.015377707139123231,"tensor(0.0072, device='cuda:0')"
31,31,146.0019724369049,0.001,0.007484766776865044,0.0063650765561941245,0.0011196902342939894,0.0,8.003108769116807e-05,0.018556207534857094,"tensor(0.0056, device='cuda:0')"
32,32,150.4600899219513,0.001,0.009201861746239324,0.008012620289644874,0.0011892414415265098,0.0,7.3189045451727e-05,0.01898435002658516,"tensor(0.0122, device='cuda:0')"
33,33,154.94296550750732,0.001,0.007652544944897188,0.006577588462581237,0.0010749564783941584,0.0,3.5565844882512465e-05,0.013085900514852256,"tensor(0.0111, device='cuda:0')"
34,34,159.64638924598694,0.001,0.0077674204107136165,0.006646581169164984,0.0011208392617768272,0.0,1.7661206697994203e-05,0.009925045946147293,"tensor(0.0090, device='cuda:0')"
35,35,164.11524391174316,0.001,0.005817841774790633,0.004735523111563414,0.0010823186555900446,0.0,0.00015586362678732257,0.026213573524728417,"tensor(0.0038, device='cuda:0')"
36,36,168.52021431922913,0.001,0.008694747839360795,0.007529224194784431,0.001165523635287908,0.0,3.2881257880035264e-05,0.012213185429573059,"tensor(0.0141, device='cuda:0')"
37,37,173.13369274139404,0.001,0.007323144811225381,0.006233306491007724,0.0010898383127868915,0.0,8.86668576640659e-05,0.020953027065843344,"tensor(0.0054, device='cuda:0')"
38,38,177.69766974449158,0.001,0.007952134024206522,0.0068088962064051985,0.0011432378211038861,0.0,0.00023050342133501545,0.03279558592475951,"tensor(0.0287, device='cuda:0')"
39,39,182.1068470478058,0.001,0.006961408472481243,0.005849454722017156,0.0011119537358089673,0.0,3.3512086929476936e-05,0.01243707921821624,"tensor(0.0076, device='cuda:0')"
40,40,186.50137901306152,0.001,0.008463599269958676,0.007296035432831404,0.0011675638334118887,0.0,1.9676647184496687e-05,0.010801304946653545,"tensor(0.0086, device='cuda:0')"
41,41,190.97615957260132,0.001,0.006493202138176941,0.005445484131416108,0.0010477180059351924,0.0,4.098456861356681e-05,0.0146733004366979,"tensor(0.0072, device='cuda:0')"
